Product type,SKU,Price,Availability,Number of products sold,Revenue generated,Customer demographics,Stock levels,Lead times,Order quantities,Shipping times,Shipping carriers,Shipping costs,Supplier name,Location,Lead time,Production volumes,Manufacturing lead time,Manufacturing costs,Inspection results,Defect rates,Transportation modes,Routes,Costs
skincare,SKU16,7.547172,74,280,6453.797968,Female,2,5,78,1,Carrier B,4.191325,Supplier 1,Bangalore,3,399,21,77.106342,Pass,1.012563,Air,Route A,865.52578
cosmetics,SKU17,81.462534,82,126,2629.396435,Female,45,17,85,9,Carrier C,3.585419,Supplier 1,Chennai,7,453,16,47.67968,Fail,0.102021,Air,Route C,670.934391
haircare,SKU18,36.443628,23,620,9364.673505,Unknown,10,10,46,8,Carrier C,4.339225,Supplier 2,Kolkata,18,374,17,27.107981,Pending,2.231939,Sea,Route A,593.480259
skincare,SKU19,51.12387,100,187,2553.495585,Unknown,48,11,94,3,Carrier A,4.742636,Supplier 4,Chennai,20,694,16,82.373321,Fail,3.646451,Road,Route C,477.307631
skincare,SKU20,96.341072,22,320,8128.027697,Unknown,27,12,68,6,Carrier A,8.878335,Supplier 1,Chennai,29,309,6,65.68626,Pass,4.231417,Air,Route B,493.871215
cosmetics,SKU21,84.893869,60,601,7087.052696,Unknown,69,25,7,6,Carrier B,6.037884,Supplier 5,Chennai,19,791,4,61.735729,Pending,0.018608,Air,Route C,523.360915
haircare,SKU22,27.679781,55,884,2390.807867,Unknown,71,1,63,10,Carrier A,9.567649,Supplier 4,Kolkata,22,780,28,50.12084,Fail,2.591275,Rail,Route C,205.571996
cosmetics,SKU23,4.324341,30,391,8858.367571,Unknown,84,5,29,7,Carrier A,2.924858,Supplier 5,Kolkata,11,568,29,98.609957,Pending,1.342292,Rail,Route A,196.329446
haircare,SKU24,4.156308,32,209,9049.077861,Male,4,26,2,8,Carrier C,9.741292,Supplier 2,Bangalore,28,447,3,40.38236,Pending,3.69131,Air,Route A,758.724773
haircare,SKU25,39.629344,73,142,2174.777054,Male,82,11,52,3,Carrier C,2.231074,Supplier 4,Kolkata,19,934,23,78.280383,Pending,3.797231,Road,Route B,458.535946
haircare,SKU26,97.446947,9,353,3716.493326,Male,59,16,48,4,Carrier B,6.507549,Supplier 2,Bangalore,26,171,4,15.97223,Pass,2.11932,Rail,Route A,617.866916
cosmetics,SKU27,92.557361,42,352,2686.457224,Unknown,47,9,62,8,Carrier C,7.406751,Supplier 5,Mumbai,25,291,4,10.528245,Fail,2.864668,Sea,Route B,762.459182
cosmetics,SKU28,2.397275,12,394,6117.324615,Female,48,15,24,4,Carrier B,9.898141,Supplier 1,Mumbai,13,171,7,59.429382,Fail,0.815757,Air,Route A,123.437028
cosmetics,SKU29,63.447559,3,253,8318.903195,Female,45,5,67,7,Carrier B,8.100973,Supplier 1,Kolkata,16,329,7,39.292876,Pass,3.878099,Road,Route B,764.935376
haircare,SKU30,8.022859,10,327,2766.342367,Male,60,26,35,7,Carrier B,8.954528,Supplier 4,Kolkata,27,806,30,51.634893,Pending,0.965395,Road,Route C,880.080988
skincare,SKU31,50.847393,28,168,9655.135103,Male,6,17,44,4,Carrier B,2.679661,Supplier 3,Chennai,24,461,8,60.251146,Pending,2.989,Rail,Route C,609.379207
skincare,SKU32,79.209936,43,781,9571.550487,Unknown,89,13,64,4,Carrier C,6.599105,Supplier 3,Kolkata,30,737,7,29.692467,Pass,1.946036,Road,Route A,761.17391
cosmetics,SKU33,64.795435,63,616,5149.99835,Non-binary,4,17,95,9,Carrier C,4.858271,Supplier 5,Chennai,1,251,23,23.853428,Fail,3.541046,Sea,Route A,371.255296
skincare,SKU34,37.467592,96,602,9061.710896,Unknown,1,26,21,7,Carrier A,1.019488,Supplier 1,Chennai,4,452,10,10.754273,Pass,0.646605,Road,Route B,510.358
cosmetics,SKU35,84.957787,11,449,6541.329345,Female,42,27,85,8,Carrier C,5.28819,Supplier 1,Delhi,3,367,2,58.004787,Pass,0.541154,Sea,Route C,553.420471
skincare,SKU36,9.813003,34,963,7573.402458,Female,18,23,28,3,Carrier B,2.107951,Supplier 2,Delhi,26,671,19,45.531364,Fail,3.805533,Air,Route C,403.808974
skincare,SKU37,23.399845,5,963,2438.33993,Female,25,8,21,9,Carrier A,1.532655,Supplier 3,Kolkata,24,867,15,34.343277,Pending,2.610288,Sea,Route A,183.932968
cosmetics,SKU38,52.075931,75,705,9692.31804,Non-binary,69,1,88,5,Carrier B,9.235931,Supplier 5,Mumbai,10,841,12,5.930694,Pending,0.613327,Air,Route B,339.67287
skincare,SKU39,19.127477,26,176,1912.465663,Female,78,29,34,3,Carrier A,5.562504,Supplier 2,Kolkata,30,791,6,9.005807,Fail,1.451972,Air,Route B,653.672995
skincare,SKU40,80.541424,97,933,5724.95935,Female,90,20,39,8,Carrier C,7.229595,Supplier 1,Kolkata,18,793,1,88.179407,Pending,4.213269,Road,Route A,529.808724
skincare,SKU41,99.113292,35,556,5521.205259,Female,64,19,38,8,Carrier B,5.773264,Supplier 4,Chennai,18,892,7,95.332065,Fail,0.045302,Sea,Route A,275.524371
skincare,SKU42,46.529168,98,155,1839.609426,Female,22,27,57,4,Carrier C,7.526248,Supplier 5,Bangalore,26,179,7,96.422821,Fail,4.939255,Road,Route A,635.657121
haircare,SKU43,11.743272,6,598,5737.425599,Unknown,36,29,85,9,Carrier B,3.694021,Supplier 5,Mumbai,1,206,23,26.277366,Pending,0.372305,Air,Route A,716.04412
cosmetics,SKU44,51.355791,34,919,7152.286049,Female,13,19,72,6,Carrier C,7.57745,Supplier 2,Delhi,7,834,18,22.554107,Fail,2.962626,Rail,Route A,610.45327
haircare,SKU45,33.784138,1,24,5267.956808,Male,93,7,52,6,Carrier B,5.215155,Supplier 2,Chennai,25,794,25,66.312544,Pass,3.219605,Rail,Route A,495.305697
haircare,SKU46,27.082207,75,859,2556.767361,Non-binary,92,29,6,8,Carrier B,4.070956,Supplier 3,Chennai,18,870,23,77.322353,Pending,3.648611,Road,Route B,380.435937
skincare,SKU47,95.712136,93,910,7089.47425,Male,4,15,51,9,Carrier B,8.978751,Supplier 1,Kolkata,10,964,20,19.712993,Pending,0.380574,Rail,Route A,581.602355
haircare,SKU48,76.035544,28,29,7397.071005,Non-binary,30,16,9,3,Carrier C,7.095833,Supplier 2,Mumbai,9,109,18,23.126364,Fail,1.698113,Rail,Route B,768.651914
cosmetics,SKU49,78.897913,19,99,8001.613207,Unknown,97,24,9,6,Carrier C,2.505621,Supplier 5,Delhi,28,177,28,14.147815,Pass,2.825814,Rail,Route A,336.890169
cosmetics,SKU50,14.203484,91,633,5910.88539,Female,31,23,82,10,Carrier A,6.247861,Supplier 2,Delhi,20,306,21,45.178758,Fail,4.754801,Rail,Route B,496.24865
haircare,SKU51,26.700761,61,154,9866.465458,Male,100,4,52,1,Carrier A,4.783001,Supplier 5,Bangalore,18,673,28,14.190328,Pending,1.772951,Road,Route A,694.982318
skincare,SKU52,98.03183,1,820,9435.762609,Male,64,11,11,1,Carrier B,8.631052,Supplier 1,Mumbai,10,727,27,9.166849,Pending,2.122472,Air,Route C,602.898499
skincare,SKU53,30.341471,93,242,8232.334829,Male,96,25,54,3,Carrier B,1.013487,Supplier 1,Delhi,1,631,17,83.344059,Pending,1.410348,Air,Route B,750.737841
haircare,SKU54,31.146243,11,622,6088.02148,Non-binary,33,22,61,3,Carrier B,4.305103,Supplier 1,Kolkata,26,497,29,30.186023,Pass,2.478772,Road,Route B,814.069997
haircare,SKU55,79.855058,16,701,2925.67517,Male,97,11,11,5,Carrier A,5.014365,Supplier 2,Delhi,27,918,5,30.323545,Fail,4.54892,Sea,Route B,323.012928
skincare,SKU56,20.986386,90,93,4767.020484,Non-binary,25,23,83,5,Carrier C,1.77443,Supplier 1,Mumbai,24,826,28,12.836285,Pass,1.173755,Air,Route B,832.210809
haircare,SKU57,49.263205,65,227,1605.8669,Unknown,5,18,51,1,Carrier B,9.160559,Supplier 2,Delhi,21,588,25,67.779623,Pending,2.511175,Rail,Route A,482.191239
skincare,SKU58,59.841561,81,896,2021.14981,Non-binary,10,5,44,7,Carrier A,4.938439,Supplier 3,Delhi,18,396,7,65.047415,Fail,1.730375,Road,Route B,110.364335
cosmetics,SKU59,63.828398,30,484,1061.618523,Non-binary,100,16,26,7,Carrier B,7.293723,Supplier 1,Kolkata,11,176,4,1.900762,Fail,0.447194,Air,Route A,312.574274
skincare,SKU60,17.028028,16,380,8864.08435,Female,41,27,72,8,Carrier C,4.381368,Supplier 4,Mumbai,29,929,24,87.213058,Fail,2.853091,Rail,Route A,430.169097
haircare,SKU61,52.02875,23,117,6885.589351,Unknown,32,23,36,7,Carrier C,9.03034,Supplier 4,Kolkata,14,480,12,78.702394,Fail,4.367471,Air,Route A,164.366528
cosmetics,SKU62,72.796354,89,270,3899.746834,Unknown,86,2,40,7,Carrier C,7.291701,Supplier 2,Mumbai,13,751,14,21.048643,Pass,1.874001,Sea,Route C,320.846516
skincare,SKU63,13.017377,55,246,4256.949141,Non-binary,54,19,10,4,Carrier A,2.457934,Supplier 3,Bangalore,18,736,10,20.075004,Pending,3.632843,Sea,Route A,687.286178
skincare,SKU64,89.634096,11,134,8458.730878,Female,73,27,75,6,Carrier C,4.585353,Supplier 1,Delhi,17,328,6,8.693042,Fail,0.159486,Air,Route C,771.225085
skincare,SKU65,33.697717,72,457,8354.579686,Male,57,24,54,8,Carrier C,6.580541,Supplier 5,Kolkata,16,358,21,1.597223,Fail,4.911096,Rail,Route C,555.859104
skincare,SKU66,26.03487,52,704,8367.721618,Female,13,17,19,8,Carrier A,2.216143,Supplier 5,Kolkata,24,867,28,42.084437,Fail,3.448063,Road,Route A,393.843349
skincare,SKU67,87.755432,16,513,9473.798033,Unknown,12,9,71,9,Carrier C,9.147812,Supplier 1,Mumbai,10,198,11,7.057876,Pass,0.131955,Sea,Route C,169.271801
haircare,SKU68,37.931812,29,163,3550.218433,Non-binary,0,8,58,8,Carrier B,1.194252,Supplier 2,Bangalore,2,375,18,97.113582,Fail,1.983468,Rail,Route A,299.706303
skincare,SKU69,54.865529,62,511,1752.381087,Non-binary,95,1,27,3,Carrier B,9.705287,Supplier 4,Kolkata,9,862,7,77.627766,Pending,1.362388,Air,Route A,207.663206
haircare,SKU70,47.914542,90,32,7014.887987,Female,10,12,22,4,Carrier B,6.315718,Supplier 1,Bangalore,22,775,16,11.440782,Pass,1.830576,Road,Route C,183.272899
cosmetics,SKU71,6.381533,14,637,8180.337085,Female,76,2,26,6,Carrier A,9.22819,Supplier 2,Bangalore,2,258,10,30.661677,Pending,2.078751,Road,Route A,405.167068
cosmetics,SKU72,90.204428,88,478,2633.121981,Non-binary,57,29,77,9,Carrier A,6.599614,Supplier 1,Bangalore,21,152,11,55.760493,Pending,3.21333,Rail,Route B,677.94457
cosmetics,SKU73,83.851018,41,375,7910.886916,Male,17,25,66,5,Carrier B,1.512937,Supplier 4,Chennai,13,444,4,46.870239,Fail,4.620546,Road,Route A,866.4728
haircare,SKU74,3.170011,64,904,5709.945296,Female,41,6,1,5,Carrier A,5.237655,Supplier 4,Delhi,1,919,9,80.580852,Fail,0.396613,Rail,Route A,341.552657
skincare,SKU75,92.996884,29,106,1889.07359,Non-binary,16,20,56,10,Carrier C,2.473898,Supplier 1,Chennai,25,759,11,48.064783,Pass,2.030069,Air,Route C,873.129648
haircare,SKU76,69.1088,23,241,5328.375984,Male,38,1,22,10,Carrier A,7.054538,Supplier 2,Bangalore,25,985,24,64.323598,Pending,2.180037,Rail,Route A,997.41345
haircare,SKU77,57.449743,14,359,2483.760178,Unknown,96,28,57,4,Carrier B,6.780947,Supplier 1,Kolkata,26,334,5,42.952445,Pass,3.055142,Road,Route B,852.568099
haircare,SKU78,6.306883,50,946,1292.458418,Unknown,5,4,51,5,Carrier B,8.46705,Supplier 5,Mumbai,25,858,21,71.126515,Pending,4.096881,Sea,Route C,323.592203
haircare,SKU79,57.057031,56,198,7888.723268,Non-binary,31,25,20,1,Carrier B,6.496325,Supplier 3,Bangalore,5,228,12,57.870903,Pending,0.165872,Air,Route C,351.504219
skincare,SKU80,91.128318,75,872,8651.672683,Unknown,39,14,41,2,Carrier C,2.833185,Supplier 3,Chennai,8,202,5,76.961228,Fail,2.849662,Sea,Route B,787.77985
haircare,SKU81,72.819207,9,774,4384.4134,Unknown,48,6,8,5,Carrier B,4.066278,Supplier 3,Delhi,28,698,1,19.789593,Pending,2.547547,Rail,Route B,276.778336
skincare,SKU82,17.034931,13,336,2943.381868,Unknown,42,19,72,1,Carrier A,4.708182,Supplier 2,Mumbai,6,955,26,4.465278,Pending,4.137877,Road,Route C,589.978556
haircare,SKU83,68.911246,82,663,2411.754632,Unknown,65,24,7,8,Carrier B,4.94984,Supplier 1,Bangalore,20,443,5,97.730594,Fail,0.773006,Road,Route A,682.971018
haircare,SKU84,89.104367,99,618,2048.2901,Unknown,73,26,80,10,Carrier A,8.381616,Supplier 5,Chennai,24,589,22,33.808637,Pass,4.843457,Air,Route B,465.457006
cosmetics,SKU85,76.962994,83,25,8684.613059,Female,15,18,66,2,Carrier C,8.249169,Supplier 5,Chennai,4,211,2,69.929346,Fail,1.374429,Road,Route B,842.68683
skincare,SKU86,19.998177,18,223,1229.591029,Unknown,32,14,22,6,Carrier B,1.454305,Supplier 1,Mumbai,4,569,18,74.60897,Pass,2.051513,Rail,Route A,264.25489
haircare,SKU87,80.414037,24,79,5133.846701,Male,5,7,55,10,Carrier A,6.575804,Supplier 3,Chennai,27,523,17,28.696997,Fail,3.693738,Sea,Route B,879.359218
cosmetics,SKU88,75.270407,58,737,9444.742033,Male,60,18,85,7,Carrier A,3.801253,Supplier 2,Mumbai,21,953,11,68.184919,Pending,0.722204,Sea,Route A,103.916248
cosmetics,SKU89,97.760086,10,134,5924.682567,Unknown,90,1,27,8,Carrier B,9.929816,Supplier 1,Kolkata,23,370,11,46.603873,Pending,1.907666,Rail,Route B,517.499974
skincare,SKU90,13.881914,56,320,9592.63357,Non-binary,66,18,96,7,Carrier B,7.674431,Supplier 3,Bangalore,8,585,8,85.675963,Pass,1.219382,Rail,Route B,990.078473
cosmetics,SKU91,62.111965,90,916,1935.206794,Male,98,22,85,7,Carrier B,7.471514,Supplier 4,Delhi,5,207,28,39.772883,Pending,0.626002,Rail,Route B,996.778315
cosmetics,SKU92,47.714233,44,276,2100.129755,Male,90,25,10,8,Carrier B,4.4695,Supplier 2,Mumbai,4,671,29,62.61269,Pass,0.333432,Rail,Route B,230.092783
haircare,SKU93,69.290831,88,114,4531.402134,Unknown,63,17,66,1,Carrier C,7.006432,Supplier 4,Chennai,21,824,20,35.633652,Fail,4.165782,Air,Route A,823.523846
cosmetics,SKU94,3.037689,97,987,7888.356547,Unknown,77,26,72,9,Carrier B,6.942946,Supplier 2,Delhi,12,908,14,60.387379,Pass,1.463607,Rail,Route B,846.665257
haircare,SKU95,77.903927,65,672,7386.363944,Unknown,15,14,26,9,Carrier B,8.630339,Supplier 4,Mumbai,18,450,26,58.890686,Pending,1.210882,Air,Route A,778.864241
cosmetics,SKU96,24.423131,29,324,7698.424766,Non-binary,67,2,32,3,Carrier C,5.352878,Supplier 3,Mumbai,28,648,28,17.803756,Pending,3.872048,Road,Route A,188.742141
haircare,SKU97,3.526111,56,62,4370.91658,Male,46,19,4,9,Carrier A,7.904846,Supplier 4,Mumbai,10,535,13,65.765156,Fail,3.376238,Road,Route A,540.132423
skincare,SKU98,19.754605,43,913,8525.95256,Female,53,1,27,7,Carrier B,1.409801,Supplier 5,Chennai,28,581,9,5.604691,Pending,2.908122,Rail,Route A,882.198864
haircare,SKU99,68.517833,17,627,9185.185829,Unknown,55,8,59,6,Carrier B,1.311024,Supplier 2,Chennai,29,921,2,38.072899,Fail,0.346027,Rail,Route B,210.743009
